,Initialization,lambda,Repeat,Num Obs,Obs Dim,centroids_prior_cov_prefactor,likelihood_cov_prefactor,Num True Clusters,Runtime,Num Iter Till Convergence,Num Initial Clusters,Num Inferred Clusters,Loss,Rand Score,Adjusted Rand Score,Adjusted Mutual Info Score,Normalized Mutual Info Score
305,dp-means,1.9952623149688788,7,1000,13,10.0,1.0,10,0.3868678342550993,2,990,990,7815.168034631008,0.9006506506506506,0.0003628428587356968,0.005407712070656548,0.500534183164412
306,dp-means,3.981071705534969,7,1000,13,10.0,1.0,10,0.5432371869683266,5,320,320,11785.199843497488,0.9051591591591591,0.07919639821845828,0.4231027646455228,0.5920636622639338
307,dp-means,7.943282347242813,7,1000,13,10.0,1.0,10,0.4669392704963684,7,14,14,20226.39534778381,0.9855455455455455,0.9136575324095882,0.9540004126122482,0.9551835256857
308,dp-means,15.848931924611142,7,1000,13,10.0,1.0,10,0.4288107194006443,7,6,6,46414.13522289001,0.863005005005005,0.5142062740185913,0.7902297923747021,0.7926689220519376
309,dp-means,31.622776601683793,7,1000,13,10.0,1.0,10,0.1421198770403862,2,1,1,143945.48525023,0.09936936936936937,0.0,-7.719133345168211e-17,0.0
310,dp-means,63.0957344480193,7,1000,13,10.0,1.0,10,0.19066929630935192,2,1,1,143945.48525023,0.09936936936936937,0.0,-7.719133345168211e-17,0.0
311,dp-means,125.89254117941663,7,1000,13,10.0,1.0,10,0.19140197709202766,2,1,1,143945.48525023,0.09936936936936937,0.0,-7.719133345168211e-17,0.0
312,dp-means,251.18864315095772,7,1000,13,10.0,1.0,10,0.1901128925383091,2,1,1,143945.48525023,0.09936936936936937,0.0,-7.719133345168211e-17,0.0
313,dp-means,501.18723362727246,7,1000,13,10.0,1.0,10,0.19075634330511093,2,1,1,143945.48525023,0.09936936936936937,0.0,-7.719133345168211e-17,0.0
314,dp-means,1000.0,7,1000,13,10.0,1.0,10,0.19016133435070515,2,1,1,143945.48525023,0.09936936936936937,0.0,-7.719133345168211e-17,0.0
315,dp-means++,0.001,7,1000,13,10.0,1.0,10,7.141433903947473,2,1000,1000,7798.884649225055,0.9006306306306306,0.0,1.3267195727669599e-12,0.49978069400244957
316,dp-means++,0.001995262314968879,7,1000,13,10.0,1.0,10,7.191865008324385,2,1000,1000,7798.884649225055,0.9006306306306306,0.0,1.3267195727669599e-12,0.49978069400244957
317,dp-means++,0.003981071705534973,7,1000,13,10.0,1.0,10,7.142796080559492,2,1000,1000,7798.884649225055,0.9006306306306306,0.0,1.3267195727669599e-12,0.49978069400244957
